chr5	170837402	170837522
chr5	170837452	170837572
chr5	170837522	170837642
chr5	170837572	170837692
chr19	33792184	33792304
chr19	33792304	33792424
chr19	33792424	33792544
chr19	33792455	33792575
chr19	33792495	33792615
chr19	33792544	33792664
chr19	33792575	33792695
chr19	33792615	33792735
chr19	33792664	33792784
chr19	33792784	33792904
chr19	33792825	33792945
chr19	33792865	33792985
chr19	33792904	33793024
chr19	33792945	33793065
chr19	33792985	33793105
chr19	33793024	33793144
chr19	33793144	33793264
chr19	33793264	33793384
chrX	133511976	133512096
chrX	133512016	133512136
chrX	133512096	133512216
chrX	133512136	133512256
